Line #,Part #,2021 List Price1,Line #,Part #,2021 List Price2,Line #,Part #,2021 List Price3
730,82433,159.5,687,8253,49,701,82608,69.5
731,8243Y,236,688,8254,50,702,826082D,93.5
732,8243Y3,260.5,697,82543,70.5,699,826083,67
735,8246,67.5,689,8256,51,700,826084,68.5
736,82463,92,691,82562,64,1063,8262,252.5
737,8246Y,104.5,692,825623A,100.5,1064,82624,267.5
999,82706SA1,162,1062,82710SG5,247,694,83573,107
1000,82706SA2,187,1040,82909SC1,278.5,695,8357Y,100.5
1001,82706SA3,189,1041,82909SC3,341,696,8357Y3,136.5
1002,82706SA4,176.5,1042,82909SC5,363.5,808,8358,122.5
1003,82706SA6,185,1043,82909SC6,298.5,809,8359,145
1004,82706SB1,189,1044,82909TB1,511.5,685,8364,45
1005,82706SB2,212,1045,82909TB3,624.5,627,8366,39
1006,82706SB3,215,1046,82909TB5,651.5,626,836616,38
1007,82706SB4,205.5,1047,82909TB6,522,628,836624,41
1008,82706SB5,227.5,1048,82911SC1,353,631,83662D,45
1009,82706SB6,210,1049,82911SC3,409,632,8366C,70.5
1010,82706SG5,236,1050,82911SG5,437,629,8366L,35
1011,82706SG6,219.5,1051,82911SG6,381,630,8366LAF,55.5
1012,82706TB1,356,791,8306,53,810,8368,85
1013,82706TB2,402,788,830636,50,1052,83709SA7,222.5
1014,82706TB3,408,789,83064,51,1053,83709SB7,241
1015,82706TB4,386,790,83065,52,1054,83809SG9,375.5
1016,82706TB5,433,792,8307,56,807,8388,139
1017,82706TB6,397.5,793,830708,58,969,83909SP1,280
1023,82709SA1,246.5,794,830710,59,970,83909SP3,300
1024,82709SA3,269.5,814,8349,51,971,83909SP5,305
1025,82709SA4,260,812,8353,78,972,83909SP6,305
1026,82709SA5,282,813,8353LT,72.5,973,83909TP1,485
1027,82709TB1,519,648,8354LE,140.5,974,83909TP3,499
1028,82709TB3,562,649,8354LE3,161.5,975,83909TP5,510
1029,82709TB4,544,650,8354LEY,215.5,976,83909TP6,510
1030,82709TB5,588,653,8354LEY3,248,52,84202D,64.5
1055,82710SA1,179,654,8354LEY3A,323,54,84202D10,66.5
1056,82710SA3,203,655,8354LEY3D,259,50,84202D3,61.5
1057,82710SA4,192.5,651,8354LEYA,269,51,84202D4,62.5
1058,82710SA5,215.5,652,8354LEYC2D,311.5,53,84202D8FT,65.5
1059,82710SC1,203,656,8354LEYSS3D,310.5,58,84202DC,65.5
1060,82710SC3,226,811,8355,308.5,55,84202DC3,62.5
1061,82710SG4,225,693,8357,85.5,56,84202DC4,63.5
59,84202DC8,66.5,1258,A8593A,172.5,1289,C8257,58
57,8438C23,112.5,1276,AFBHL,7,1290,C826073,92.5
739,8445,30.5,1277,ALANL,7,1291,C8260732D,109
740,8447,55.5,1278,BAGLBL,9,1292,C8260734,91.5
743,8447A,84,1279,BFBHL,7,1295,C8260734,87.5
741,8450,32.5,1306,C7232C,640.5,1293,C826073A,138.5
